colour
#7B2727
#5A1E1E
#A00B0B
#4A3535
#4C5858
#9F8383
#633C3C
#7C3333
#673232
#633535
#784242
#773838
#838282
#736464
#908B8B
#574646
#736F6F
#706767
#717777
#717878
#7A7777
#7D6E6E
#806868
#599090
#568F8F
#538686
#548585
#528080
#4F7E7E
#4E7A7A
#517D7D
#4B7272
#588A8A
#5D8C8C
#944F4F
#6E8B8B
#040404
#798080
#685C5C
#5D4D4D
#350E0E
#340E0E
#3A0E0E
#666969
#717070
#6D7272
#878181
#727171
#5D5959
#595858
#703535
#5B9999
#828A8A
#5C9898
#538787
#576C6C
#568888
#5B8080
#649F9F
#A07979
#A07979
#8C5E5E
#8C5E5E
#7B6C6C
#7B6C6C
#6C5757
#6C5757
#7A7777
#7A7777
#7E7C7C
#7E7C7C
#7D7A7A
#787474
#7D7A7A
#787474
#6A6161
#6A6161
#787D7D
#787D7D
#737777
#727777
#737777
#727777
#798080
#798080
#859090
#859090
#6E6868
#6E6868
#695E5E
#665959
#695E5E
#665959
#635454
#635454
#574040
#574040
#655959
#655959
#685C5C
#685C5C
#7C9797
#7D9494
#768B8B
#768B8B
#778C8C
#738686
#718383
#748888
#7A8484
#778080
#798787
#788585
#494A4A
#A6A8A8
#6F7373
#737878
#8D9494
#8C9393
#939B9B
#85A1A1
#87A3A3
#6E8585
#728A8A
#81A1A1
#898A8A
#7F7575
#8D7D7D
#937D7D
#957C7C
#6E7878
#769595
#6B7575
#696E6E
#6B6D6D
#956161
#767878
#72A8A8
#7E8282
#6C8282
#6DA7A7
#6FA0A0
#72A4A4
#758282
#5DB1B1
#588B8B
#678A8A
#638080
#6D8C8C
#677C7C
#6A7F7F
#6B8484
#668282
#678282
#678585
#674646
#5A4343
#5B2D2D
#624444
#252D2D
#7D5656
#725050
#7D4747
#8B5757
#894242
#727979
#707878
#6F7676
#606363
#613131
#654C4C
#695656
#726565
#745353
#6E5C5C
#685B5B
#5F6161
#706E6E
#7C8888
#8A8E8E
#8A9191
#898C8C
#909292
#6A6767
#665F5F
#797070
#615353
#756060
#6D5555
#7A5B5B
#6E5D5D
#A24141
#868585
#645353
#757575
#797D7D
#5BA7A7
#61A9A9
#619595
#708484
#6DA0A0
#8A9393
#927E7E
#989595
#95AFAF
#545050
#636060
#434040
#534D4D
#3E3C3C
#715E5E
#8D8D8D
#688F8F
#6D8787
#814C4C
#856F6F
#726F6F
#674C4C
#695E5E
#938484
#7F8181
#767C7C
#7C8080
#868181
#452626
#572C2C
#761919
#522121
#582F2F
#653030
#4A3737
#502020
#631E1E
#501515
#5B1818
#601919
#5E1818
#6D1919
#761C1C
#799696
#83B7B7
#789C9C
#639191
#5E8F8F
#609494
#525C5C
#6BA0A0
#6F7676
#4B4D4D
#685E5E
#424A4A
#4B6D6D
#4E6B6B
#487676
#5BA9A9
#589D9D
#63A4A4
#64A3A3
#5BA4A4
#5AA5A5
#58A5A5
#57A5A5
#62AFAF
#63A1A1
#63A5A5
#6C6666
#676262
#C6CBCB
#CDD5D5
#CAD3D3
#C9D2D2
#CED4D4
#CAD1D1
#CAD1D1
#AED9D9
#C5C8C8
#888F8F
#7C9494
#C2CACA
#DEE9E9
#E7F0F0
#DFE7E7
#A5D3D3
#8EA7A7
#8AA6A6
#8F9191
#82B6B6
#8E9D9D
#819999
#918C8C
#918E8E
#8E9292
#63A3A3
#848383
#7B7B7B
#7E7D7D
#726F6F
#7F7B7B
#6A6161
#5A9393
#4D7E7E
#4E6E6E
#517777
#467070
#5B9D9D
#5E9191
#557D7D
#5DA1A1
#636E6E
#945656
#9E7F7F
#6F8080
#938484
#6E7C7C
#668383
#769797
#89A1A1
#80ABAB
#617171
#6D6969
#8A7E7E
#8A8484
#855959
#815D5D
#877E7E
#808D8D
#7D7878
#6A6161
#7B7A7A
#6A7272
#694949
#615252
#8C9494
#849696
#7E9191
#7F9494
#809595
#868888
#8E9393
#8D8C8C
#898C8C
#8B8989
#817777
#8A8080
#858181
#827C7C
#8A8A8A
#828080
#7D7777
#807D7D
#9A9292
#6F7070
#828080
#776E6E
#6D6969
#797373
#756F6F
#696262
#693E3E
#807676
#7D7373
#8B7373
#5DA1A1
#6E8B8B
#567171
#547878
#5E9A9A
#5DA4A4
#739090
#7D9D9D
#7F9292
#9E7C7C
#6C7A7A
#877B7B
#8C8585
#897373
#909494
#716A6A
#6E6363
#8D8787
#908D8D
#888989
#847B7B
#8B7777
#786E6E
#7C7D7D
#796E6E
#778686
#868787
#818989
#818C8C
#745E5E
#857F7F
#6E6666
#838787
#7C7F7F
#606C6C
#8F8282
#907C7C
#847979
#7F7373
#7C6A6A
#4F3C3C
#8A6262
#483131
#7C5555
#815D5D
#8A7373
#675555
#786B6B
#695151
#917272
#785454
#647070
#6B4F4F
#7E6E6E
#7C6666
#826A6A
#7D6868
#6D4E4E
#814E4E
#8D6262
#5D3C3C
#553636
#642222
#721F1F
#792525
#591B1B
#612727
#491A1A
#511F1F
#7F7171
#523737
#581D1D
#412222
#482323
#362B2B
#382D2D
#452424
#392626
#5E3434
#5C2222
#592626
#3E3737
#629191
#579090
#6CB4B4
#639D9D
#739D9D
#7D7C7C
#748282
#669393
#679696
#6B9191
#689191
#6AAEAE
#565252
#595757
#698A8A
#6F7878
#869090
#526060
#597373
#7E8989
#7E5E5E
#855E5E
#717171
#796A6A
#90D9D9
#63ABAB
#7BD7D7
#77DDDD
#87D6D6
#90D6D6
#62C1C1
#7A9D9D
#78ADAD
#629696
#8E9999
#4AA7A7
#557A7A
#4E9E9E
#4B9D9D
#5F9C9C
#5E9898
#58A5A5
#629999
#5B8A8A
#55A1A1
#647171
#65B0B0
#589191
#57ABAB
#5FAFAF
#397C7C
#307575
#528585
#639090
#7C6F6F
#5D4040
#625252
#6A3B3B
#744848
#756161
#7C6464
#7E5E5E
#775252
#635353
#7A5151
#825252
#746767
#405D5D
#663C3C
#404949
#8A7D7D
#6C6868
#5B7676
#627272
#719797
#809D9D
#6D5D5D
#5A7F7F
#52AEAE
#6FA4A4
#65A1A1
#569A9A
#73CFCF
#5F7373
#868C8C
#3F4343
#2B1616
#413131
#7B6060
#5B5454
#462F2F
#392D2D
#53A3A3
#4D7676
#5C8383
#443232
#7D5454
#7C9191
#768D8D
#8E8D8D
#868888
#919292
#489F9F
#929797
#998A8A
#5B6B6B
#5F6565
#929191
#435252
#445757
#425353
#445757
#445858
#425353
#415252
#394646
#536060
#232B2B
#485B5B
#868585
#4E8C8C
#968C8C
#899494
#417979
#9A8181
#3C3838
#7F8989
#686868
#736E6E
#726464
#866666
#627979
#6B6565
#504343
#818383
#7A7272
#6A6666
#4F4040
#3B3B3B
#2C2323
#5A4B4B
#749D9D
#497373
#2D2626
#536D6D
#453333
#312B2B
#596C6C
#342B2B
#5A4A4A
#6B6A6A
#535858
#6F5B5B
#505F5F
#332A2A
#342828
